BEGIN_YEARMONTH,STATE_FIPS,BEGIN_TIME,TOR_F_SCALE,STATE,CZ_NAME,TOR_LENGTH,TOR_WIDTH
195106,31.0,1530,F2,NEBRASKA,CHEYENNE,10.4,57.0
195107,31.0,1730,F0,NEBRASKA,PERKINS,5.1,33.0
195107,31.0,2000,F0,NEBRASKA,DEUEL,0.0,33.0
195108,31.0,1500,F1,NEBRASKA,MORRILL,0.0,440.0
195102,5.0,915,F2,ARKANSAS,LONOKE,20.2,333.0
195102,5.0,915,F2,ARKANSAS,PRAIRIE,92.6,333.0
195110,5.0,300,F2,ARKANSAS,YELL,0.0,33.0
195108,9.0,1630,F3,CONNECTICUT,MIDDLESEX,0.0,33.0
195101,6.0,1025,F2,CALIFORNIA,SANTA CLARA,5.7,33.0
195108,9.0,1530,F2,CONNECTICUT,TOLLAND,0.0,50.0
195108,9.0,1615,F2,CONNECTICUT,LITCHFIELD,43.9,100.0
195102,28.0,1500,F1,MISSISSIPPI,LOWNDES,0.0,33.0
195102,28.0,1500,F3,MISSISSIPPI,OKTIBBEHA,0.0,33.0
195104,28.0,1200,F1,MISSISSIPPI,SMITH,0.0,33.0
195104,28.0,1925,F3,MISSISSIPPI,JONES,8.8,33.0
195104,28.0,1940,F3,MISSISSIPPI,JASPER,24.7,33.0
195106,28.0,530,0,MISSISSIPPI,SHARKEY,2.0,10.0
195103,12.0,1700,F2,FLORIDA,SARASOTA,2.0,77.0
195105,12.0,930,F1,FLORIDA,FRANKLIN,0.0,33.0
195105,12.0,1230,0,FLORIDA,COLUMBIA,0.0,33.0
195107,12.0,1520,F2,FLORIDA,HILLSBOROUGH,0.0,33.0
195112,12.0,1125,F1,FLORIDA,POLK,0.0,27.0
195112,12.0,1330,F1,FLORIDA,DUVAL,0.5,33.0
195112,12.0,1745,F2,FLORIDA,POLK,0.0,150.0
195112,12.0,1800,F1,FLORIDA,PINELLAS,2.8,100.0
195112,12.0,1830,F2,FLORIDA,POLK,0.0,33.0
195108,25.0,1400,F2,MASSACHUSETTS,ESSEX,9.3,100.0
195112,25.0,1700,F2,MASSACHUSETTS,DUKES,0.0,33.0
195112,28.0,1730,0,MISSISSIPPI,WARREN,0.5,350.0
195112,28.0,1515,0,MISSISSIPPI,WINSTON,2.0,900.0
195106,37.0,1700,F1,NORTH CAROLINA,FRANKLIN,3.8,30.0
195106,37.0,1530,F1,NORTH CAROLINA,PENDER,1.0,20.0
195107,37.0,1100,F1,NORTH CAROLINA,BRUNSWICK,0.0,33.0
195108,37.0,1100,F2,NORTH CAROLINA,CATAWBA,0.5,100.0
195102,1.0,1600,F2,ALABAMA,FAYETTE,0.1,123.0
195108,26.0,1400,F1,MICHIGAN,EATON,2.3,100.0
195108,26.0,1400,F1,MICHIGAN,LAPEER,0.2,300.0
195108,26.0,1430,F2,MICHIGAN,CLINTON,28.5,333.0
195109,26.0,2100,F2,MICHIGAN,NEWAYGO,2.3,440.0
195102,21.0,1800,F2,KENTUCKY,SHELBY,0.0,73.0
195111,21.0,1750,F3,KENTUCKY,MARSHALL,2.0,33.0
195106,1.0,900,F2,ALABAMA,MADISON,0.0,100.0
195111,1.0,1500,F2,ALABAMA,CULLMAN,0.0,150.0
195111,1.0,2000,F2,ALABAMA,LAUDERDALE,1.5,177.0
195111,1.0,100,F2,ALABAMA,BLOUNT,1.5,33.0
195108,33.0,1400,F2,NEW HAMPSHIRE,ROCKINGHAM,4.9,67.0
195106,27.0,1730,F4,MINNESOTA,MCLEOD,52.6,330.0
195106,27.0,1900,F4,MINNESOTA,ANOKA,0.0,330.0
195106,27.0,1500,F2,MINNESOTA,MARTIN,14.2,33.0
195107,27.0,2100,F3,MINNESOTA,HENNEPIN,11.6,33.0
195105,29.0,2100,F1,MISSOURI,NODAWAY,0.2,10.0
195106,29.0,1745,F1,MISSOURI,PHELPS,0.0,33.0
195107,29.0,100,F2,MISSOURI,JASPER,0.1,100.0
195107,29.0,2015,F2,MISSOURI,RAY,2.3,100.0
195107,29.0,2345,F1,MISSOURI,HOWELL,2.0,440.0
195111,29.0,1330,F3,MISSOURI,NEW MADRID,1.0,27.0
195106,19.0,1707,F2,IOWA,HANCOCK,0.8,500.0
195107,19.0,1745,F1,IOWA,O'BRIEN,0.0,33.0
195108,19.0,2359,F1,IOWA,PLYMOUTH,5.6,140.0
195107,46.0,2000,F2,SOUTH DAKOTA,ROBERTS,0.0,33.0
195107,46.0,1815,F2,SOUTH DAKOTA,CODINGTON,1.0,33.0
195106,19.0,2115,F3,IOWA,MARSHALL,1.5,880.0
195106,19.0,1600,F1,IOWA,LYON,0.5,17.0
195104,39.0,2055,F2,OHIO,HANCOCK,15.2,33.0
195106,39.0,1530,F2,OHIO,CUYAHOGA,1.0,100.0
195106,39.0,600,F1,OHIO,BUTLER,4.7,33.0
195107,26.0,2200,F2,MICHIGAN,WASHTENAW,0.5,217.0
195106,38.0,1130,0,NORTH DAKOTA,BURLEIGH,0.0,33.0
195108,38.0,1500,F1,NORTH DAKOTA,HETTINGER,0.0,33.0
195112,41.0,1740,F1,OREGON,LANE,0.3,50.0
195106,20.0,2300,F2,KANSAS,RUSH,0.0,33.0
195104,48.0,1510,F2,TEXAS,WICHITA,1.5,17.0
195105,48.0,1700,F2,TEXAS,WICHITA,4.9,33.0
195105,48.0,1830,F1,TEXAS,CASTRO,0.0,33.0
195105,48.0,1545,F4,TEXAS,YOUNG,2.0,200.0
195105,48.0,1700,F1,TEXAS,HASKELL,0.5,20.0
195106,20.0,200,0,KANSAS,GREENWOOD,0.0,33.0
195106,20.0,2200,0,KANSAS,MORTON,0.0,33.0
195106,20.0,2200,F2,KANSAS,STEVENS,0.0,33.0
195106,20.0,10,F4,KANSAS,TREGO,0.8,300.0
195106,20.0,100,F1,KANSAS,ELLIS,0.0,33.0
195107,20.0,2100,0,KANSAS,FORD,0.0,33.0
195105,20.0,2345,F2,KANSAS,JEFFERSON,3.0,440.0
195106,20.0,2000,F1,KANSAS,REPUBLIC,11.0,33.0
195106,20.0,1630,F2,KANSAS,GRANT,0.0,33.0
195106,20.0,1800,F1,KANSAS,TREGO,3.0,400.0
195106,20.0,1930,0,KANSAS,PRATT,0.0,33.0
195106,20.0,1930,0,KANSAS,PRATT,9.0,33.0
195106,20.0,1930,0,KANSAS,PRATT,0.0,33.0
195106,20.0,1930,0,KANSAS,PRATT,0.0,33.0
