BEGIN_YEARMONTH,STATE,EVENT_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH
201310,SOUTH DAKOTA,Tornado,EF1,4.18,400.0
201310,IOWA,Tornado,EF1,2.04,1300.0
201301,KENTUCKY,Tornado,EF0,2.12,100.0
201301,KENTUCKY,Tornado,EF2,2.06,200.0
201301,KENTUCKY,Tornado,EF1,7.92,225.0
201301,TENNESSEE,Tornado,EF2,4.97,200.0
201301,TENNESSEE,Tornado,EF1,1.45,150.0
201301,TENNESSEE,Tornado,EF0,3.63,100.0
201301,KENTUCKY,Tornado,EF2,5.14,325.0
201312,KENTUCKY,Tornado,EF1,5.53,300.0
201301,TENNESSEE,Tornado,EF1,2.71,150.0
201301,TENNESSEE,Tornado,EF2,4.53,150.0
201312,KENTUCKY,Tornado,EF1,3.49,110.0
201301,GEORGIA,Tornado,EF3,16.72,900.0
201301,TENNESSEE,Tornado,EF1,2.19,150.0
201301,ARKANSAS,Tornado,EF2,6.6,700.0
201301,ARKANSAS,Tornado,EF1,2.0,350.0
201302,TEXAS,Tornado,EF1,1.97,60.0
201301,GEORGIA,Tornado,EF1,3.13,300.0
201301,TENNESSEE,Tornado,EF0,10.61,125.0
201301,GEORGIA,Tornado,EF1,8.64,900.0
201301,TENNESSEE,Tornado,EF0,2.0,75.0
201301,KENTUCKY,Tornado,EF0,0.5,150.0
201301,OKLAHOMA,Tornado,EF1,2.4,400.0
201301,ALABAMA,Tornado,EF0,4.9,200.0
201301,ILLINOIS,Tornado,EF2,0.97,125.0
201301,TENNESSEE,Tornado,EF0,6.65,200.0
201301,MISSISSIPPI,Tornado,EF0,0.45,50.0
201308,WISCONSIN,Tornado,EF1,5.06,100.0
201301,MISSOURI,Tornado,EF1,5.45,100.0
