MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201027,Southeast,95.54,4.46,0,0,0,0,10/27/2020,11/2/2020,1
20201027,West,38.44,61.56,47.04,33.66,24.04,3.15,10/27/2020,11/2/2020,1
20201020,High Plains,1.75,98.25,72.19,45.1,23.64,4.46,10/20/2020,10/26/2020,1
20201020,Midwest,53.59,46.41,15.57,5.22,0.94,0,10/20/2020,10/26/2020,1
20201020,Northeast,29.24,70.76,50.04,10.66,1.99,0,10/20/2020,10/26/2020,1
20201020,South,62.96,37.04,25.48,15.31,7.78,2.38,10/20/2020,10/26/2020,1
20201020,Southeast,96.97,3.03,0,0,0,0,10/20/2020,10/26/2020,1
20201020,West,36.77,63.23,47.19,33.71,24.04,3.15,10/20/2020,10/26/2020,1
20201013,High Plains,1.75,98.25,67.4,43.44,19.41,3.42,10/13/2020,10/19/2020,1
20201013,Midwest,54.35,45.65,16.88,4.9,0.76,0,10/13/2020,10/19/2020,1
20201013,Northeast,32.77,67.23,49.32,24.55,5.82,0,10/13/2020,10/19/2020,1
20201013,South,66.83,33.17,22.83,14.05,7.24,1.66,10/13/2020,10/19/2020,1
20201013,Southeast,98.38,1.62,0,0,0,0,10/13/2020,10/19/2020,1
20201013,West,36.69,63.31,48.71,33.67,22.51,2.29,10/13/2020,10/19/2020,1
20201006,High Plains,6.44,93.56,64.87,40.96,18.25,3.42,10/6/2020,10/12/2020,1
20201006,Midwest,56.8,43.2,13.33,4.89,0.79,0,10/6/2020,10/12/2020,1
20201006,Northeast,32.77,67.23,49.32,27.24,5.82,0,10/6/2020,10/12/2020,1
20201006,South,68.72,31.28,19.89,12.98,7,1.66,10/6/2020,10/12/2020,1
20201006,Southeast,97.99,2.01,0,0,0,0,10/6/2020,10/12/2020,1
20201006,West,37.54,62.46,46.88,32.92,21.27,2.29,10/6/2020,10/12/2020,1
20200929,High Plains,6.73,93.27,62.11,36.56,16.16,0.54,9/29/2020,10/5/2020,1
20200929,Midwest,58.19,41.81,11.09,3.01,0,0,9/29/2020,10/5/2020,1
20200929,Northeast,29.84,70.16,45.31,26.26,3.89,0,9/29/2020,10/5/2020,1
